code	date	gender	0_to_4	10_to_14	15_to_19	20_to_24	25_to_29	30_to_34	35_to_39	40_to_44	45_to_49	50_to_54	55_to_59	5_to_9	60_to_64	65_to_69	70_to_74	75_to_79	80_to_84	85_to_89	90+
E12000008	2020-03-10	maleCases	0	1	2	6	2	3	6	3	10	10	4	0	8	3	2	3	3	1	0
E12000009	2020-03-10	maleCases	0	1	1	1	6	0	1	1	7	3	9	0	3	4	1	2	1	0	0
E92000001	2020-03-10	maleCases	2	8	4	30	30	30	32	28	42	46	44	2	36	33	22	14	14	15	5
E12000001	2020-03-11	maleCases	0	0	1	0	1	4	0	0	0	0	1	0	1	2	0	0	0	0	0
E12000002	2020-03-11	maleCases	0	0	1	3	1	1	5	6	4	6	8	0	2	3	1	1	2	3	1
E12000003	2020-03-11	maleCases	0	1	0	2	6	2	1	4	3	3	2	1	2	2	5	1	0	0	1
E12000004	2020-03-11	maleCases	0	2	0	5	0	4	4	2	6	5	6	1	4	6	2	1	1	1	1
E12000005	2020-03-11	maleCases	0	0	0	1	3	2	5	3	3	4	3	0	3	2	2	3	4	4	0
E12000006	2020-03-11	maleCases	0	1	0	1	1	1	2	2	5	8	4	0	1	4	4	1	1	0	0
E12000007	2020-03-11	maleCases	2	3	1	18	22	27	20	14	22	19	20	2	23	19	18	9	12	12	12
E12000008	2020-03-11	maleCases	0	1	2	7	4	9	8	3	12	13	5	0	11	6	3	6	4	3	1
E12000009	2020-03-11	maleCases	0	1	2	2	8	0	2	1	8	4	10	0	3	7	1	2	1	0	0
E92000001	2020-03-11	maleCases	2	9	7	41	46	52	49	36	63	65	59	4	50	52	37	25	27	23	16
E12000001	2020-03-12	maleCases	0	0	1	0	1	4	0	1	0	0	1	0	1	2	0	0	0	0	0
E12000002	2020-03-12	maleCases	0	0	1	4	5	1	5	9	5	10	8	0	8	6	2	2	4	3	1
E12000003	2020-03-12	maleCases	0	1	0	2	8	2	2	4	4	3	3	1	2	4	5	2	0	0	1
E12000004	2020-03-12	maleCases	0	2	0	6	0	4	6	3	6	8	8	1	5	6	3	2	1	1	1
E12000005	2020-03-12	maleCases	0	0	1	1	3	2	5	4	4	5	7	1	6	4	4	4	7	7	1
E12000006	2020-03-12	maleCases	0	1	0	3	2	3	2	4	5	11	4	0	2	4	4	1	2	0	0
E12000007	2020-03-12	maleCases	3	3	1	21	35	42	31	20	25	21	29	3	28	25	22	12	21	14	14
E12000008	2020-03-12	maleCases	0	1	2	8	10	12	12	8	13	16	6	1	12	6	6	10	4	6	2
E12000009	2020-03-12	maleCases	0	1	2	3	8	1	3	2	8	7	13	0	3	7	1	2	1	0	0
E92000001	2020-03-12	maleCases	3	9	8	51	72	73	68	57	71	84	80	7	67	65	48	36	42	31	20
E12000001	2020-03-13	maleCases	0	0	1	0	1	4	0	1	0	2	1	0	1	2	0	0	0	0	0
E12000002	2020-03-13	maleCases	0	0	2	5	5	2	5	11	6	11	11	0	12	9	2	5	7	3	1
E12000003	2020-03-13	maleCases	0	1	0	2	8	2	2	4	4	4	3	1	3	4	8	4	0	0	1
E12000004	2020-03-13	maleCases	1	2	0	6	1	5	7	3	6	9	9	1	6	9	3	3	1	2	2
E12000005	2020-03-13	maleCases	0	0	1	3	4	3	5	4	6	6	7	1	6	8	9	6	11	10	3
E12000006	2020-03-13	maleCases	0	1	0	5	4	4	3	5	6	12	5	0	5	6	9	3	2	1	0
E12000007	2020-03-13	maleCases	4	3	1	22	39	47	34	27	26	26	33	3	33	29	25	18	28	21	14
E12000008	2020-03-13	maleCases	0	1	2	8	11	14	14	10	14	19	6	1	13	10	6	15	7	6	4
E12000009	2020-03-13	maleCases	0	1	2	3	9	1	3	3	10	7	14	0	9	8	2	3	1	1	1
E92000001	2020-03-13	maleCases	5	9	9	57	82	85	75	70	80	100	90	7	89	86	66	58	60	44	27
E12000001	2020-03-14	maleCases	0	0	1	0	1	4	0	1	1	2	1	0	1	2	0	0	0	1	1
E12000002	2020-03-14	maleCases	0	0	2	6	5	2	6	11	6	12	13	0	12	9	4	8	10	3	3
E12000003	2020-03-14	maleCases	0	1	0	2	8	3	2	4	4	4	4	1	3	4	8	4	2	1	1
E12000004	2020-03-14	maleCases	1	2	0	6	1	5	7	4	6	9	9	1	7	9	3	9	2	4	5
E12000005	2020-03-14	maleCases	0	0	1	3	5	3	6	4	7	6	7	1	6	9	12	8	13	13	4
E12000006	2020-03-14	maleCases	0	1	0	5	5	6	3	7	7	13	6	0	6	7	9	4	2	1	0
E12000007	2020-03-14	maleCases	6	3	1	22	43	49	37	30	30	31	38	4	40	36	40	29	36	31	20
E12000008	2020-03-14	maleCases	0	1	2	8	12	14	14	10	14	20	7	1	13	12	8	18	10	7	4
E12000009	2020-03-14	maleCases	0	1	2	3	10	1	3	3	10	7	17	0	9	8	3	3	1	1	2
E92000001	2020-03-14	maleCases	7	9	9	58	91	90	80	76	87	108	103	8	98	97	89	84	79	62	41
E12000001	2020-03-15	maleCases	0	0	1	0	1	4	0	1	1	4	1	0	1	2	0	2	0	1	2
E12000002	2020-03-15	maleCases	0	0	2	6	6	2	6	12	7	13	13	0	15	12	4	8	11	4	4
E12000003	2020-03-15	maleCases	0	1	0	2	8	3	2	4	4	5	5	1	4	6	9	4	2	1	1
E12000004	2020-03-15	maleCases	1	2	0	6	1	6	8	4	6	9	10	1	9	11	3	12	3	6	5
E12000005	2020-03-15	maleCases	0	0	1	3	5	3	8	6	9	8	8	1	6	13	15	11	18	17	4
E12000006	2020-03-15	maleCases	0	1	1	6	6	8	7	9	8	18	8	0	7	9	11	4	2	1	0
E12000007	2020-03-15	maleCases	8	3	1	22	43	51	39	34	35	41	42	4	44	40	52	45	49	41	25
E12000008	2020-03-15	maleCases	0	2	2	8	12	14	15	10	17	20	7	1	16	14	10	25	12	11	7
E12000009	2020-03-15	maleCases	0	1	2	3	10	1	3	3	10	7	18	0	10	9	3	4	2	6	2
E92000001	2020-03-15	maleCases	9	10	10	60	93	97	90	85	99	129	114	8	114	118	109	117	103	88	51
E12000001	2020-03-16	maleCases	0	0	1	0	1	4	0	1	1	4	1	0	2	2	1	4	0	1	2
E12000002	2020-03-16	maleCases	0	0	3	6	6	4	6	12	8	13	16	0	16	15	6	11	14	5	7
E12000003	2020-03-16	maleCases	0	1	0	2	8	3	2	4	4	6	5	1	5	6	11	6	2	2	2
E12000004	2020-03-16	maleCases	2	2	0	6	2	7	8	5	7	10	11	1	9	12	3	16	6	9	5
E12000005	2020-03-16	maleCases	0	0	2	3	5	3	9	6	9	8	9	1	9	19	22	16	25	21	4
E12000006	2020-03-16	maleCases	0	1	1	6	7	8	8	11	8	20	11	0	8	9	12	8	3	1	0
E12000007	2020-03-16	maleCases	9	3	1	24	44	54	41	41	39	55	55	4	52	51	61	56	61	57	31
E12000008	2020-03-16	maleCases	0	2	2	8	15	15	15	11	19	21	9	1	21	16	17	29	16	15	12
E12000009	2020-03-16	maleCases	0	1	2	3	10	1	3	3	10	8	21	0	10	9	3	5	5	8	3
E92000001	2020-03-16	maleCases	11	10	12	62	100	104	95	96	109	149	141	8	134	141	140	154	136	119	67
E12000001	2020-03-17	maleCases	0	0	1	0	1	5	1	1	2	4	1	0	2	4	1	5	0	1	3
E12000002	2020-03-17	maleCases	0	0	3	7	7	7	6	13	8	16	18	0	19	17	6	17	20	8	8
E12000003	2020-03-17	maleCases	0	1	0	2	9	4	2	4	5	7	6	1	5	6	13	9	5	3	4
E12000004	2020-03-17	maleCases	3	2	0	6	2	7	8	5	8	10	13	1	9	14	5	16	9	11	7
E12000005	2020-03-17	maleCases	0	0	2	4	6	4	10	7	12	8	12	1	11	22	25	19	29	27	6
E12000006	2020-03-17	maleCases	0	1	2	6	8	9	9	12	11	21	13	0	8	10	14	9	6	3	0
E12000007	2020-03-17	maleCases	11	3	2	25	50	55	45	49	49	69	63	4	58	62	83	76	87	73	41
E12000008	2020-03-17	maleCases	0	2	2	8	15	16	15	14	19	23	9	1	25	19	27	38	21	18	17
E12000009	2020-03-17	maleCases	0	1	2	4	11	1	3	5	11	9	21	0	10	9	5	7	5	10	5
E92000001	2020-03-17	maleCases	14	10	15	68	113	113	102	112	129	172	161	8	150	165	184	199	186	154	92
E12000001	2020-03-18	maleCases	0	0	1	0	1	5	1	1	2	4	2	0	3	4	2	6	2	2	5
E12000002	2020-03-18	maleCases	0	0	3	8	7	8	10	19	9	18	22	0	20	20	10	23	28	12	10
E12000003	2020-03-18	maleCases	0	1	0	3	10	6	4	5	7	10	10	1	5	8	16	10	8	4	4
E12000004	2020-03-18	maleCases	3	2	0	6	2	10	8	6	9	11	17	1	11	15	6	16	14	12	9
E12000005	2020-03-18	maleCases	0	0	2	5	8	7	11	7	19	11	16	1	15	24	31	28	32	36	8
E12000006	2020-03-18	maleCases	0	1	2	7	10	9	9	16	16	24	19	0	13	19	16	12	8	7	1
E12000007	2020-03-18	maleCases	14	3	2	28	53	67	49	59	54	81	79	4	74	75	98	92	101	96	51
